# regionId	LeagueRegion
# Demonic Pacts League: OSRS map region id -> league region	
#	
# Auto-generated by LeagueRegionDumperTest from leagues_regions.tsv	
# in the shortest-path-tooling repo. Do not edit by hand; regenerate with:	
#   ./gradlew leagueRegionDump \	
#     -PleagueRegionsCacheDir=$PWD/cache \	
#     -PleagueRegionsXteaPath=$PWD/keys.json	
#	
4137	VARLAMORE
4138	VARLAMORE
4139	VARLAMORE
4140	VARLAMORE
4141	VARLAMORE
4142	VARLAMORE
4143	VARLAMORE
4144	VARLAMORE
4145	VARLAMORE
4146	VARLAMORE
4147	VARLAMORE
4148	VARLAMORE
4149	KOUREND
4150	KOUREND
4151	KOUREND
4152	KOUREND
4153	KOUREND
4154	KOUREND
4155	KOUREND
4156	KOUREND
4157	KOUREND
4158	KOUREND
4240	VARLAMORE
4241	VARLAMORE
4242	VARLAMORE
4243	VARLAMORE
4244	VARLAMORE
4245	VARLAMORE
4246	VARLAMORE
4247	VARLAMORE
4248	VARLAMORE
4249	VARLAMORE
4250	VARLAMORE
4251	KOUREND
4252	KOUREND
4253	KOUREND
4254	KOUREND
4255	KOUREND
4256	KOUREND
4257	KOUREND
4393	VARLAMORE
4394	VARLAMORE
4395	VARLAMORE
4396	VARLAMORE
4397	VARLAMORE
4398	VARLAMORE
4399	VARLAMORE
4400	VARLAMORE
4401	VARLAMORE
4402	VARLAMORE
4403	VARLAMORE
4404	VARLAMORE
4405	VARLAMORE
4406	KOUREND
4407	KOUREND
4408	KOUREND
4409	KOUREND
4410	KOUREND
4411	KOUREND
4412	KOUREND
4413	KOUREND
4414	KOUREND
4496	VARLAMORE
4497	VARLAMORE
4498	VARLAMORE
4499	VARLAMORE
4500	VARLAMORE
4501	VARLAMORE
4502	VARLAMORE
4503	VARLAMORE
4504	VARLAMORE
4505	VARLAMORE
4506	VARLAMORE
4507	KOUREND
4508	KOUREND
4509	KOUREND
4510	KOUREND
4511	KOUREND
4512	KOUREND
4513	KOUREND
4649	VARLAMORE
4650	VARLAMORE
4651	VARLAMORE
4652	VARLAMORE
4653	VARLAMORE
4654	VARLAMORE
